total_bill,support,sex,day,locale
16.99,1.01,male,Mon,ja-JP
10.34,1.66,male,Tue,en-US
21.01,3.5,female,Wed,ja-JP
23.68,3.31,male,Thu,en-US
24.59,3.61,female,Fri,en-US
25.29,4.71,female,Sat,en-US
8.77,2,male,Sun,ja-JP
26.88,3.12,male,Mon,en-US
15.04,1.96,male,Tue,en-US
14.78,3.23,female,Wed,en-US
10.27,1.71,male,Thu,ja-JP
35.26,5,male,Fri,en-US
15.42,1.57,female,Sat,ja-JP
18.43,3,male,Sun,en-US
14.83,3.02,female,Mon,en-US
21.58,3.92,female,Tue,en-US
10.33,1.67,male,Wed,ja-JP
16.29,3.71,male,Thu,en-US
16.97,3.5,male,Fri,en-US
20.65,3.35,female,Sat,en-US
17.92,4.08,male,Sun,ja-JP
20.29,2.75,female,Mon,en-US
15.77,2.23,female,Tue,ja-JP
39.42,7.58,male,Wed,en-US
19.82,3.18,male,Thu,ja-JP
17.81,2.34,male,Fri,en-US
13.37,2,female,Sat,ja-JP
12.69,2,male,Sun,en-US
21.7,4.3,male,Mon,ja-JP
19.65,3,male,Tue,en-US
9.55,1.45,female,Wed,ja-JP
18.35,2.5,female,Thu,en-US
15.06,3,female,Fri,en-US
20.69,2.45,male,Sat,en-US
17.78,3.27,female,Sun,ja-JP
24.06,3.6,female,Mon,en-US
16.31,2,male,Tue,en-US
16.93,3.07,male,Wed,en-US
18.69,2.31,male,Thu,ja-JP
31.27,5,female,Fri,en-US
16.04,2.24,female,Sat,ja-JP
17.46,2.54,male,Sun,en-US
13.94,3.06,male,Mon,en-US
9.68,1.32,male,Tue,en-US
30.4,5.6,female,Wed,ja-JP
18.29,3,male,Thu,en-US
22.23,5,female,Fri,en-US
32.4,6,female,Sat,en-US
28.55,2.05,male,Sun,ja-JP
18.04,3,male,Mon,en-US
12.54,2.5,male,Tue,ja-JP
10.29,2.6,female,Wed,en-US
34.81,5.2,male,Thu,ja-JP
9.94,1.56,male,Fri,en-US
25.56,4.34,male,Sat,ja-JP
19.49,3.51,female,Sun,en-US
38.01,3,female,Mon,ja-JP
26.41,1.5,male,Tue,en-US
11.24,1.76,male,Wed,ja-JP
48.27,6.73,female,Thu,en-US
20.29,3.21,male,Fri,en-US
13.81,2,female,Sat,en-US
11.02,1.98,female,Sun,ja-JP
18.29,3.76,male,Mon,en-US
17.59,2.64,male,Tue,en-US
20.08,3.15,male,Wed,en-US
16.45,2.47,female,Thu,ja-JP
3.07,1,male,Fri,en-US
20.23,2.01,male,Sat,ja-JP
15.01,2.09,male,Sun,en-US
12.02,1.97,female,Mon,en-US
17.07,3,female,Tue,en-US
26.86,3.14,female,Wed,ja-JP
25.28,5,male,Thu,en-US
14.73,2.2,female,Fri,en-US
10.51,1.25,female,Sat,en-US
17.92,3.08,male,Sun,ja-JP
27.2,4,male,Mon,en-US
22.76,3,male,Tue,ja-JP
17.29,2.71,female,Wed,en-US
19.44,3,female,Thu,ja-JP
16.66,3.4,male,Fri,en-US
10.07,1.83,male,Sat,ja-JP
32.68,5,male,Sun,en-US
15.98,2.03,female,Mon,ja-JP
34.83,5.17,male,Tue,en-US
13.03,2,female,Wed,ja-JP
18.28,4,female,Thu,en-US
24.71,5.85,male,Fri,en-US
21.16,3,male,Sat,en-US
28.97,3,male,Sun,ja-JP
22.49,3.5,female,Mon,en-US
5.75,1,male,Tue,en-US
16.32,4.3,male,Wed,en-US
22.75,3.25,male,Thu,ja-JP
40.17,4.73,female,Fri,en-US
27.28,4,female,Sat,ja-JP
12.03,1.5,male,Sun,en-US
21.01,3,male,Mon,en-US
12.46,1.5,female,Tue,en-US
11.35,2.5,male,Wed,ja-JP
15.38,3,female,Thu,en-US
44.3,2.5,female,Fri,en-US
22.42,3.48,male,Sat,en-US
20.92,4.08,male,Sun,ja-JP
15.36,1.64,male,Mon,en-US
20.49,4.06,female,Tue,ja-JP
25.21,4.29,male,Wed,en-US
18.24,3.76,male,Thu,ja-JP
14.31,4,female,Fri,en-US
14,3,male,Sat,ja-JP
7.25,1,female,Sun,en-US
