,DAU,Android,iOS
2018/1/1 0:00,48068,42687,5381
2018/1/2 0:00,47490,41863,5627
2018/1/3 0:00,47431,41844,5587
2018/1/4 0:00,47300,41743,5557
2018/1/5 0:00,46740,41365,5375
2018/1/6 0:00,46924,41643,5281
2018/1/7 0:00,47483,41913,5570
2018/1/8 0:00,46815,41491,5324
2018/1/9 0:00,48069,42668,5401
2018/1/10 0:00,48140,42792,5348
2018/1/11 0:00,47666,42447,5219
2018/1/12 0:00,47323,42232,5091
2018/1/13 0:00,46943,41839,5104
2018/1/14 0:00,47774,42344,5430
2018/1/15 0:00,48113,42774,5339
2018/1/16 0:00,48129,42720,5409
2018/1/17 0:00,48170,42683,5487
2018/1/18 0:00,48684,43173,5511
2018/1/19 0:00,47904,42607,5297
2018/1/20 0:00,48436,43021,5415
2018/1/21 0:00,49324,43811,5513
2018/1/22 0:00,49254,43874,5380
2018/1/23 0:00,49669,44232,5437
2018/1/24 0:00,49484,44032,5452
2018/1/25 0:00,49881,44404,5477
2018/1/26 0:00,48982,43707,5275
2018/1/27 0:00,49197,43895,5302
2018/1/28 0:00,49203,43971,5232
2018/1/29 0:00,49198,43965,5233
2018/1/30 0:00,49628,44355,5273
2018/1/31 0:00,49556,44143,5413
2018/2/1 0:00,50273,44945,5328
2018/2/2 0:00,52392,47146,5246
2018/2/3 0:00,52450,46927,5523
2018/2/4 0:00,52326,46780,5546
2018/2/5 0:00,52012,46744,5268
2018/2/6 0:00,52367,46936,5431
2018/2/7 0:00,52471,46997,5474
2018/2/8 0:00,52726,47183,5543
2018/2/9 0:00,51996,46593,5403
2018/2/10 0:00,52245,46832,5413
2018/2/11 0:00,52485,47043,5442
2018/2/12 0:00,52172,46869,5303
2018/2/13 0:00,52290,46783,5507
2018/2/14 0:00,52097,46743,5354
2018/2/15 0:00,52087,46513,5574
2018/2/16 0:00,52251,46625,5626
2018/2/17 0:00,52335,46812,5523
2018/2/18 0:00,53158,47341,5817
2018/2/19 0:00,52687,46829,5858
2018/2/20 0:00,52667,46820,5847
2018/2/21 0:00,53978,46746,7232
2018/2/22 0:00,52753,46676,6077
2018/2/23 0:00,51557,45740,5817
2018/2/24 0:00,51188,45374,5814
2018/2/25 0:00,51564,45633,5931
2018/2/26 0:00,51157,45365,5792
2018/2/27 0:00,50826,45014,5812
2018/2/28 0:00,51162,45413,5749
2018/3/1 0:00,51978,46062,5916
2018/3/2 0:00,51200,45567,5633
2018/3/3 0:00,52264,46365,5899
2018/3/4 0:00,52806,46939,5867
2018/3/5 0:00,52389,46687,5702
2018/3/6 0:00,52074,46427,5647
2018/3/7 0:00,52682,46935,5747
2018/3/8 0:00,52350,46700,5650
