ユーザーID,ギフトを送ったPt,ギフトをもらったGEM,投稿数,投稿してもらったGEM,友達登録している数,友達登録されている数,送ったメッセージ人数,送ったメッセージ数
11161989,"11,260","10,604",17,"10,668",0,0,4,60
11266262,"7,174",0,77,554,0,0,88,881
11202313,0,0,0,0,0,0,56,433
11197252,0,0,0,0,0,0,9,58
11193046,0,0,0,0,0,0,21,433
11255814,0,0,0,0,0,0,1,1
11279307,"1,420",0,11,34,47,16,13,162
11165754,"1,360",506,27,368,326,556,20,56
11193933,0,0,0,0,0,0,9,47
11177622,0,0,0,0,0,0,8,77
11185179,0,0,0,0,0,0,0,0
11230749,0,0,0,0,0,0,22,77
11224946,0,0,0,0,0,0,24,31
11195636,0,0,0,0,0,0,12,112
11221362,0,0,0,0,0,0,26,98
11247702,0,0,0,0,0,0,8,204
11252930,0,0,0,0,0,0,4,71
11169051,650,"2,284",9,"2,294",10,"1,113",5,21
11265194,630,0,0,0,0,0,4,92
11243535,0,0,0,0,0,0,10,22
11223233,0,0,0,0,0,0,44,208
11266317,572,0,19,"1,566",0,0,17,99
11178622,0,0,0,0,0,0,3,4
11236251,0,0,0,0,0,0,43,131
11225520,0,0,0,0,0,0,9,47
11191493,0,0,0,0,0,0,2,7
11160053,412,378,40,354,0,1,47,550
11273221,412,0,7,108,0,15,5,22
11216008,0,0,0,0,0,0,0,0
11254868,0,0,0,0,0,0,119,457
11254729,0,0,0,0,0,0,48,"1,495"
11202378,0,0,0,0,0,0,1,18
11171221,246,130,0,0,109,0,100,585
11185742,0,0,0,0,0,0,7,13
11165337,190,34,5,38,28,147,2,7
11179878,0,0,0,0,0,0,43,223
11258697,0,0,0,0,0,0,43,558
11185186,0,0,0,0,0,0,1,3
11223349,0,0,0,0,0,0,3,33
11254351,0,0,0,0,0,0,22,54
11272140,136,0,74,70,0,0,5,38
11209530,0,0,0,0,0,0,20,214
11286059,126,0,1,2,37,3,5,18
11219189,0,0,0,0,0,0,37,167
11182740,0,0,0,0,0,0,3,5
11202484,0,0,0,0,0,0,5,41
11276119,110,0,1,0,0,0,2,3
11250372,0,0,0,0,0,0,8,49
11189381,0,0,0,0,0,0,24,236
11177265,72,0,0,0,0,0,4,47
11284092,72,0,3,30,33,2,9,21
11204201,0,0,0,0,0,0,11,31
11262450,66,0,0,0,0,0,10,116
11217938,0,0,0,0,0,0,2,12
11210885,0,0,0,0,0,0,167,658
11226041,0,0,0,0,0,0,24,79
11226118,0,0,0,0,0,0,24,321
11217052,0,0,0,0,0,0,10,136
11209917,0,0,0,0,0,0,28,106
11265222,56,0,11,40,0,0,32,97
11261277,54,0,0,0,0,0,17,42
11285625,40,0,5,30,6,3,1,1
11172098,38,0,0,0,0,0,8,21
11241286,0,0,0,0,0,0,14,36
11198045,0,0,0,0,0,0,18,48
11282365,34,0,21,32,117,16,126,559
11231034,0,0,0,0,0,0,1,2
11250727,0,0,0,0,0,0,98,326
11249500,0,0,0,0,0,0,3,15
11186764,0,0,0,0,0,0,0,0
11249248,0,0,0,0,0,0,67,278
11225271,0,0,0,0,0,0,5,93
11261772,12,0,0,0,0,0,52,439
11165821,10,50,13,50,35,403,14,61
11231346,0,0,0,0,0,0,0,0
11214705,0,0,0,0,0,0,7,26
11265521,8,0,8,36,0,0,28,338
11158422,6,10,1,2,1,22,11,39
11227221,0,0,0,0,0,0,3,6
11277231,6,0,24,92,37,21,3,54
11281411,6,0,1,0,25,9,5,21
11178620,0,0,0,0,0,0,9,59
11202913,0,0,0,0,0,0,0,0
11236380,0,0,0,0,0,0,1,1
11263341,4,0,0,0,0,0,21,27
11283357,4,0,3,30,29,6,3,5
11179293,0,0,0,0,0,0,58,163
11190725,0,0,0,0,0,0,0,0
11191172,0,0,0,0,0,0,9,359
11198371,0,0,0,0,0,0,4,22
11235042,0,0,0,0,0,0,1,2
11245775,0,0,0,0,0,0,1,1
11271918,2,0,1,2,0,0,1,1
11277309,2,0,4,34,66,20,58,77
11156986,0,30,6,30,26,22,11,53
11160630,0,36,18,36,48,92,13,52
11164097,0,0,1,0,368,56,45,281
11169376,0,0,0,0,54,22,23,25
11172458,0,0,0,0,0,0,0,0
11172838,0,0,0,0,0,0,0,0
11174277,0,0,0,0,0,0,526,"1,755"
11176578,0,0,0,0,0,0,0,0
11178523,0,0,0,0,0,0,3,45
11180225,0,0,0,0,0,0,0,0
11183111,0,0,0,0,0,0,5,6
11187088,0,0,0,0,0,0,0,0
11188616,0,0,0,0,0,0,147,368
11190909,0,0,0,0,0,0,0,0
11193688,0,0,0,0,0,0,38,143
11194331,0,0,0,0,0,0,0,0
11202086,0,0,0,0,0,0,0,0
11202723,0,0,0,0,0,0,4,4
11205293,0,0,0,0,0,0,25,111
11207455,0,0,0,0,0,0,3,22
11213362,0,0,0,0,0,0,2,17
11216190,0,0,0,0,0,0,3,6
11221304,0,0,0,0,0,0,0,0
11225170,0,0,0,0,0,0,13,169
11227608,0,0,0,0,0,0,9,15
11228601,0,0,0,0,0,0,34,50
11229125,0,0,0,0,0,0,0,0
11229292,0,0,0,0,0,0,13,66
11232580,0,0,0,0,0,0,9,44
11233883,0,0,0,0,0,0,0,0
11240053,0,0,0,0,0,0,12,42
11241046,0,0,0,0,0,0,45,177
11242440,0,0,0,0,0,0,0,0
11242691,0,0,0,0,0,0,6,11
11247868,0,0,0,0,0,0,2,3
11248903,0,0,0,0,0,0,3,5
11250507,0,0,0,0,0,0,3,21
11252636,0,0,0,0,0,0,1,1
11254366,0,0,0,0,0,0,10,39
11254924,0,0,0,0,0,0,12,262
11260588,0,0,0,0,0,0,2,8
11264113,0,0,0,0,0,0,618,"1,490"
11266766,0,0,1,0,0,0,4,22
11271727,0,0,33,32,0,0,2,3
11275561,0,0,2,30,0,2,23,34
11276657,0,0,2,30,0,3,0,0
11278082,0,0,4,30,31,10,8,143
11283168,0,0,4,30,26,5,1,1
11290393,0,0,2,30,28,1,32,63
